Year,Month,Max (�C),Min (�C),Ave
1896,12,9.8,2.6,6.2
1897,1,9.8,6.0,7.9
1897,2,13.8,8.2,11
1897,3,8.2,-0.9,3.65
1897,4,9.9,0.6,5.25
1897,5,16.6,5.2,10.9
1897,6,18.2,9.6,13.9
1897,7,18.1,3.7,10.9
1897,8,24.9,9.1,17
1897,9,14.7,5.1,9.9
1897,10,15.0,8.7,11.85
1897,11,14.9,12.0,13.45
1897,12,10.9,2.5,6.7
1898,1,11.2,6.3,8.75
1898,2,9.3,1.9,5.6
1898,3,8.1,1.1,4.6
1898,4,13.1,5.6,9.35
1898,5,12.1,3.1,7.6
1898,6,12.2,6.8,9.5
1898,7,20.0,9.5,14.75
1898,8,18.9,10.2,14.55
1898,9,16.4,5.2,10.8
1898,10,14.3,3.8,9.05
1898,11,13.4,5.5,9.45
1898,12,4.5,-2.0,1.25
1899,1,12.6,3.2,7.9
1899,2,9.8,-0.9,4.45
1899,3,11.7,-2.2,4.75
1899,4,13.2,5.1,9.15
1899,5,11.8,8.7,10.25
1899,6,12.0,9.1,10.55
